Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
10 000 m,M,1977,2,Szekeres János Bp. Honvéd,Szekeres János,Bp. Honvéd,1760.5
10 000 m,M,1977,3,Szekeres Ferenc Csepel SC,Szekeres Ferenc,Csepel SC,1762.0
10 000 m,M,1978,1,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1735.2
10 000 m,M,1978,2,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,1737.9
10 000 m,M,1978,3,Mohácsi Péter MTK-VM,Mohácsi Péter,MTK-VM,1775.4
10 000 m,M,1979,1,Golács Miklós Ferencvárosi TC,Golács Miklós,Ferencvárosi TC,1745.0
10 000 m,M,1979,2,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,1749.2
10 000 m,M,1979,3,Török János SZEOL AK,Török János,SZEOL AK,1758.9
10 000 m,M,1980,1,Májer József Nyíregyházi VSSC,Májer József,Nyíregyházi VSSC,1741.7
10 000 m,M,1980,2,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1748.2
10 000 m,M,1980,3,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,1752.4
10 000 m,M,1981,1,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1775.93
10 000 m,M,1981,2,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,1777.64
10 000 m,M,1981,3,Szekeres Ferenc Csepel SC,Szekeres Ferenc,Csepel SC,1780.06
10 000 m,M,1982,1,Horváth Béla Ferencvárosi TC,Horváth Béla,Ferencvárosi TC,1762.4
10 000 m,M,1982,2,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1762.6
10 000 m,M,1982,3,Bauer Attila Komlói Bányász,Bauer Attila,Komlói Bányász,1769.4
10 000 m,M,1983,1,Májer József Nyíregyházi VSSC,Májer József,Nyíregyházi VSSC,1751.63
10 000 m,M,1983,2,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1755.15
10 000 m,M,1983,3,Bauer Attila Komlói Bányász,Bauer Attila,Komlói Bányász,1755.86
10 000 m,M,1984,1,Májer József Nyíregyházi VSSC,Májer József,Nyíregyházi VSSC,1749.5
10 000 m,M,1984,2,Borka Gyula Bp. Spartacus,Borka Gyula,Bp. Spartacus,1751.97
10 000 m,M,1984,3,Kiss Zoltán Bp. Spartacus,Kiss Zoltán,Bp. Spartacus,1820.7
10 000 m,M,1985,1,Markó Gábor Bp. Honvéd,Markó Gábor,Bp. Honvéd,1732.84
10 000 m,M,1985,2,Borka Gyula Bp. Spartacus,Borka Gyula,Bp. Spartacus,1734.63
10 000 m,M,1985,3,Gyacskov Igor Építők SC,Gyacskov Igor,Építők SC,1748.77
10 000 m,M,1986,1,K. Szabó Gábor Bp. Honvéd,K. Szabó Gábor,Bp. Honvéd,1735.25
10 000 m,M,1986,2,Kadlót Zoltán Salgótarjáni Kohász,Kadlót Zoltán,Salgótarjáni Kohász,1738.2
10 000 m,M,1986,3,Sulyok Attila Bp. Spartacus,Sulyok Attila,Bp. Spartacus,1739.07
10 000 m,M,1987,1,Káldy Zoltán Újpesti Dózsa,Káldy Zoltán,Újpesti Dózsa,1736.2
10 000 m,M,1987,2,Kadlót Zoltán Salgótarjáni Kohász,Kadlót Zoltán,Salgótarjáni Kohász,1736.87
10 000 m,M,1987,3,Kovács József Székesfehérvári Ikarus,Kovács József,Székesfehérvári Ikarus,1748.59
10 000 m,M,1988,1,Kadlót Zoltán Salgótarjáni Kohász,Kadlót Zoltán,Salgótarjáni Kohász,1740.15
10 000 m,M,1988,2,Velczenbach Tibor BVSC,Velczenbach Tibor,BVSC,1740.67
10 000 m,M,1988,3,Káldy Újpesti Dózsa,Káldy Újpesti,Dózsa,1741.73
10 000 m,M,1989,1,Káldy Zoltán Újpesti Dózsa,Káldy Zoltán,Újpesti Dózsa,1748.76
10 000 m,M,1989,2,Kadlót Zoltán Salgótarjáni Kohász,Kadlót Zoltán,Salgótarjáni Kohász,1754.16
10 000 m,M,1989,3,Sági Ferenc Újpesti Dózsa,Sági Ferenc,Újpesti Dózsa,1760.29
10 000 m,M,1990,1,Káldy Zoltán Újpesti Dózsa,Káldy Zoltán,Újpesti Dózsa,1747.19
10 000 m,M,1990,2,Kadlót Zoltán Salgótarjáni Kohász SE,Kadlót Zoltán,Salgótarjáni Kohász SE,1749.09
10 000 m,M,1990,3,Sági Ferenc Szolnoki MÁV-MTE,Sági Ferenc,Szolnoki MÁV-MTE,1753.4
10 000 m,M,1991,1,Káldy Zoltán újpesti TE,Káldy Zoltán,újpesti TE,1735.99
10 000 m,M,1991,2,Serfőző Sándor Diósgyőri VTK,Serfőző Sándor,Diósgyőri VTK,1762.46
10 000 m,M,1991,3,Kadlót Zoltán Salgótarjáni Kohász,Kadlót Zoltán,Salgótarjáni Kohász,1763.56
10 000 m,M,1992,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,1705.89
10 000 m,M,1992,2,Ivan Konovalov Micro SC,Ivan Konovalov,Micro SC,1719.06
10 000 m,M,1992,3,Kadlót Zoltán Salgótarjáni Kohász,Kadlót Zoltán,Salgótarjáni Kohász,1741.31
