Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
5000m,M,1954,1,Kovács József Vörös Lobogó SE,Kovács József,Vörös Lobogó SE,820.6
5000m,M,1954,2,Béres Ernő Vasas,Béres Ernő,Vasas,861.4
5000m,M,1954,3,Berta Hubert Haladás,Berta Hubert,Haladás,885.6
5000m,M,1955,1,Iharos Sándor Bp. Honvéd,Iharos Sándor,Bp. Honvéd,820.6
5000m,M,1955,2,Tábori László Bp. Honvéd,Tábori László,Bp. Honvéd,833.2
5000m,M,1955,3,Szabó Miklós Bp. Haladás,Szabó Miklós,Bp. Haladás,839.0
5000m,M,1956,1,Szabó Miklós Bp. Haladás,Szabó Miklós,Bp. Haladás,845.0
5000m,M,1956,2,Tábori László Honvéd,Tábori László,Honvéd,845.2
5000m,M,1956,3,Varga Gyula Dózsa,Varga Gyula,Dózsa,879.6
5000m,M,1957,1,Iharos Sándor Bp. Honvéd,Iharos Sándor,Bp. Honvéd,845.0
5000m,M,1957,2,Kovács József MTK,Kovács József,MTK,845.6
5000m,M,1957,3,Szabó Miklós MAFC,Szabó Miklós,MAFC,853.2
5000m,M,1958,1,Iharos Sándor Bp. Honvéd,Iharos Sándor,Bp. Honvéd,853.8
5000m,M,1958,2,Szabó Miklós MAFC,Szabó Miklós,MAFC,853.8
5000m,M,1958,3,Kovács József MTK,Kovács József,MTK,861.4
5000m,M,1959,1,Kovács József MTK,Kovács József,MTK,827.6
5000m,M,1959,2,Szabó Miklós MAFC,Szabó Miklós,MAFC,846.8
5000m,M,1959,3,Fazekas Miklós Diósgyőri VTK,Fazekas Miklós,Diósgyőri VTK,863.2
5000m,M,1960,1,Iharos Sándor Bp. Honvéd,Iharos Sándor,Bp. Honvéd,840.8
5000m,M,1960,2,Szabó Miklós MAFC,Szabó Miklós,MAFC,851.4
5000m,M,1960,3,Pintér János Bp. Spartacus,Pintér János,Bp. Spartacus,851.6
5000m,M,1961,1,Iharos Sándor Bp. Honvéd,Iharos Sándor,Bp. Honvéd,831.8
5000m,M,1961,2,Mácsár József Bp. Vörös Meteor,Mácsár József,Bp. Vörös Meteor,835.4
5000m,M,1961,3,Szabó Miklós MAFC,Szabó Miklós,MAFC,839.4
5000m,M,1962,1,Kiss István Bp. Honvéd,Kiss István,Bp. Honvéd,847.8
5000m,M,1962,2,Szekeres Béla MAFC,Szekeres Béla,MAFC,849.6
5000m,M,1962,3,Mácsár József Bp. Vörös Meteor,Mácsár József,Bp. Vörös Meteor,857.6
5000m,M,1963,1,Pintér János Bp. Spartacus,Pintér János,Bp. Spartacus,844.2
5000m,M,1963,2,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,844.8
5000m,M,1963,3,Simon Dénes Bp. Spartacus,Simon Dénes,Bp. Spartacus,846.6
5000m,M,1964,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,842.2
5000m,M,1964,2,Kiss István Bp. Honvéd,Kiss István,Bp. Honvéd,850.4
5000m,M,1964,3,Szekeres Béla Vasas,Szekeres Béla,Vasas,852.6
5000m,M,1965,1,Simon Dénes Bp. Spartacus,Simon Dénes,Bp. Spartacus,834.4
5000m,M,1965,3,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,838.8
5000m,M,1966,1,Mecser Lajos Salgótarjánia BTC,Mecser Lajos,Salgótarjánia BTC,839.8
5000m,M,1966,2,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,841.6
5000m,M,1966,3,Kiss István Bp. Honvéd,Kiss István,Bp. Honvéd,842.0
5000m,M,1967,1,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,838.4
5000m,M,1967,2,Mecser Lajos Salgótarjáni Bányász,Mecser Lajos,Salgótarjáni Bányász,842.2
5000m,M,1967,3,Pintér János Bp. Spartacus,Pintér János,Bp. Spartacus,848.6
5000m,M,1968,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,849.8
5000m,M,1968,2,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,854.2
5000m,M,1968,3,Szentiványi Gergely Bp. Vasas,Szentiványi Gergely,Bp. Vasas,861.0
5000m,M,1969,1,Török János Bp. Honvéd,Török János,Bp. Honvéd,850.4
5000m,M,1969,2,Szentiványi Gergely Bp. Vasas,Szentiványi Gergely,Bp. Vasas,851.2
5000m,M,1969,3,Simon Dénes Bp. Spartacus,Simon Dénes,Bp. Spartacus,851.6
5000m,M,1970,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,844.4
5000m,M,1970,2,Simon Dénes Bp. Spartacus,Simon Dénes,Bp. Spartacus,849.4
5000m,M,1970,3,Szerényi János Bp. Vasas,Szerényi János,Bp. Vasas,850.6
5000m,M,1971,1,Török János Bp. Honvéd,Török János,Bp. Honvéd,840.6
5000m,M,1971,2,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,843.6
5000m,M,1971,3,Szabó János Bp. Honvéd,Szabó János,Bp. Honvéd,843.8
5000m,M,1972,1,Mohácsi Péter MTK,Mohácsi Péter,MTK,840.4
5000m,M,1972,2,Tóth Béla Újpesti Dózsa,Tóth Béla,Újpesti Dózsa,842.2
5000m,M,1972,3,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,843.6
5000m,M,1973,1,Bátori Gábor MAFC,Bátori Gábor,MAFC,842.6
5000m,M,1973,2,Mohácsi Péter MTK,Mohácsi Péter,MTK,844.6
5000m,M,1973,3,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,845.4
5000m,M,1974,1,Török János Szegedi EOL,Török János,Szegedi EOL,833.0
5000m,M,1974,2,Mohácsi Péter MTK,Mohácsi Péter,MTK,833.8
5000m,M,1974,3,Siető Dániel Kazincbarcikai Vegyész,Siető Dániel,Kazincbarcikai Vegyész,834.0
5000m,M,1975,1,Siető Dániel Kazincbarcikai Vegyész,Siető Dániel,Kazincbarcikai Vegyész,832.4
5000m,M,1975,2,Szekeres János Bp. Honvéd,Szekeres János,Bp. Honvéd,840.0
5000m,M,1975,3,Golács Miklós BKV Előre,Golács Miklós,BKV Előre,844.6
5000m,M,1976,1,Kispál László Komlói Bányász,Kispál László,Komlói Bányász,827.8
5000m,M,1976,2,Horváth Béla Ferencvárosi TC,Horváth Béla,Ferencvárosi TC,828.4
5000m,M,1976,3,Török János Szegedi EOL,Török János,Szegedi EOL,828.8
5000m,M,1977,1,Kispál László Komlói Bányász,Kispál László,Komlói Bányász,833.0
5000m,M,1977,2,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,839.5
5000m,M,1977,3,Mohácsi Péter MTK-VM,Mohácsi Péter,MTK-VM,840.0
5000m,M,1978,1,Kispál László Komlói Bányász,Kispál László,Komlói Bányász,824.6
5000m,M,1978,2,Horváth Béla Ferencvárosi TC,Horváth Béla,Ferencvárosi TC,837.7
5000m,M,1978,3,Kocsis László Diósgyőri VTK,Kocsis László,Diósgyőri VTK,844.8
5000m,M,1979,1,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,846.4
5000m,M,1979,2,Laposa Ferenc Tatabányai Bányász,Laposa Ferenc,Tatabányai Bányász,847.0
5000m,M,1979,3,Mohácsi Péter MTK-VM,Mohácsi Péter,MTK-VM,847.3
5000m,M,1980,1,Kispál László Komlói Bányász,Kispál László,Komlói Bányász,841.5
5000m,M,1980,2,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,842.6
5000m,M,1980,3,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,843.1
5000m,M,1981,1,Májer József Nyíregyházi VSSC,Májer József,Nyíregyházi VSSC,846.74
5000m,M,1981,2,Horváth Béla Ferencvárosi TC,Horváth Béla,Ferencvárosi TC,849.05
5000m,M,1981,3,Kozma Attila Bp. Építők,Kozma Attila,Bp. Építők,850.73
5000m,M,1982,1,Szász László Nyíregyházi VSSC,Szász László,Nyíregyházi VSSC,832.75
5000m,M,1982,2,Horváth Béla Ferencvárosi TC,Horváth Béla,Ferencvárosi TC,833.81
5000m,M,1982,3,Májer József Nyíregyházi VSSC,Májer József,Nyíregyházi VSSC,835.27
5000m,M,1983,1,K. Szabó Gábor Debreceni MVSC,K. Szabó Gábor,Debreceni MVSC,834.82
5000m,M,1983,2,Májer József Nyíregyházi VSSC,Májer József,Nyíregyházi VSSC,837.19
5000m,M,1983,3,Kadlót Zoltán Salgótarjáni TC,Kadlót Zoltán,Salgótarjáni TC,838.06
5000m,M,1984,1,Markó Gábor Bp. Honvéd,Markó Gábor,Bp. Honvéd,840.15
5000m,M,1984,2,Májer József Nyíregyházi VSSC,Májer József,Nyíregyházi VSSC,840.75
5000m,M,1984,3,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,840.79
5000m,M,1985,1,Szabó Tamás Pécsi MSC,Szabó Tamás,Pécsi MSC,844.58
5000m,M,1985,2,K. Szabó Gábor Bp. Honvéd,K. Szabó Gábor,Bp. Honvéd,844.6
5000m,M,1985,3,Kozma Attila Bp. Építők,Kozma Attila,Bp. Építők,845.53
5000m,M,1986,1,K. Szabó Gábor Bp. Honvéd,K. Szabó Gábor,Bp. Honvéd,848.18
5000m,M,1986,2,Gyacskov Igor Építők SC,Gyacskov Igor,Építők SC,855.13
5000m,M,1986,3,Sárközi Gyula Szekszárdi Dózsa,Sárközi Gyula,Szekszárdi Dózsa,858.42
5000m,M,1987,1,Kadlót Zoltán Salgótarjáni Kohász,Kadlót Zoltán,Salgótarjáni Kohász,848.08
5000m,M,1987,2,Velczenbach Tibor BVSC,Velczenbach Tibor,BVSC,849.12
5000m,M,1987,3,Szűcs Csaba Vasas SC,Szűcs Csaba,Vasas SC,850.92
5000m,M,1988,1,Velczenbach Tibor BVSC,Velczenbach Tibor,BVSC,830.73
5000m,M,1988,2,Káldy Újpesti Dózsa,Káldy Újpesti,Dózsa,832.78
5000m,M,1988,3,Szász László Miskolci VSC,Szász László,Miskolci VSC,834.06
5000m,M,1989,1,Káldy Zoltán Újpesti Dózsa,Káldy Zoltán,Újpesti Dózsa,834.89
5000m,M,1989,2,Berkovics Imre Haladás,Berkovics Imre,Haladás,839.51
5000m,M,1989,3,Pécsi Zoltán Tatabányai Bányász,Pécsi Zoltán,Tatabányai Bányász,839.53
5000m,M,1990,1,Konovalov Iván Bp. Építők,Konovalov Iván,Bp. Építők,835.37
5000m,M,1990,2,Berkovics Imre Veszprémi EDAC,Berkovics Imre,Veszprémi EDAC,836.94
5000m,M,1990,3,Kadlót Zoltán Salgótarjáni Kohász SE,Kadlót Zoltán,Salgótarjáni Kohász SE,837.93
5000m,M,1991,1,Markó Gábor Micro SC,Markó Gábor,Micro SC,851.09
5000m,M,1991,2,Holba Zoltán Újpesti TE,Holba Zoltán,Újpesti TE,852.2
5000m,M,1991,3,Janovecz Tamás Bp. Spartacus,Janovecz Tamás,Bp. Spartacus,854.17
5000m,M,1992,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,831.54
5000m,M,1992,2,Holba Zoltán Újpesti TE,Holba Zoltán,Újpesti TE,840.84
5000m,M,1992,3,Berkovics Imre VEDAC,Berkovics Imre,VEDAC,846.34
5000m,M,1993,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,846.57
5000m,M,1993,2,Kollár Csaba Újpesti TE,Kollár Csaba,Újpesti TE,858.01
5000m,M,1993,3,Szemán János VEDAC,Szemán János,VEDAC,859.6
5000m,M,1994,1,Berkovics Imre BVSC,Berkovics Imre,BVSC,841.5
5000m,M,1994,2,Kliszek Tamás Újpesti TE,Kliszek Tamás,Újpesti TE,842.0
5000m,M,1994,3,Jáger Péter BVSC,Jáger Péter,BVSC,857.5
5000m,M,1995,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,824.87
5000m,M,1995,2,Berkovics Imre BVSC,Berkovics Imre,BVSC,835.76
5000m,M,1995,3,Szemán János VEDAC,Szemán János,VEDAC,850.96
5000m,M,1996,1,Káldy Zoltán Újpesti TE,Káldy Zoltán,Újpesti TE,841.88
5000m,M,1996,2,Berkovics Imre BVSC,Berkovics Imre,BVSC,855.55
5000m,M,1996,3,Kadlót Zoltán Salgótarjáni Öblösüveggyár,Kadlót Zoltán,Salgótarjáni Öblösüveggyár,857.75
5000m,M,1997,1,Kliszek Tamás Újpesti TE,Kliszek Tamás,Újpesti TE,839.09
5000m,M,1997,2,Berkovics Imre BVSC,Berkovics Imre,BVSC,850.31
5000m,M,1997,3,Serfőző Sándor Salgótarjáni Öblösüveggyár,Serfőző Sándor,Salgótarjáni Öblösüveggyár,856.82
5000m,M,1998,1,Kliszek Tamás Újpesti TE,Kliszek Tamás,Újpesti TE,860.32
5000m,M,1998,2,Kadlót Zoltán Salgótarjáni Öblösüveggyár,Kadlót Zoltán,Salgótarjáni Öblösüveggyár,867.73
5000m,M,1998,3,Rezessy Gergely Vasas,Rezessy Gergely,Vasas,874.35
5000m,M,1999,1,Szemán János VEDAC,Szemán János,VEDAC,849.77
5000m,M,1999,2,Juhász András Bp. Honvéd,Juhász András,Bp. Honvéd,850.93
5000m,M,1999,3,Rezessy Gergely Vasas-BBTE,Rezessy Gergely,Vasas-BBTE,869.96
5000m,M,2000,1,Berkovics Imre Debreceni MTE,Berkovics Imre,Debreceni MTE,865.71
5000m,M,2000,2,Sági Ferenc BVSC,Sági Ferenc,BVSC,866.84
5000m,M,2000,3,Tímár Levente Alba Regia AK,Tímár Levente,Alba Regia AK,868.32
5000m,M,2001,1,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,847.42
5000m,M,2001,2,Berkovics Imre Debreceni AK,Berkovics Imre,Debreceni AK,853.7
5000m,M,2001,3,Zatykó Miklós Vasas-BBTE,Zatykó Miklós,Vasas-BBTE,854.49
5000m,M,2002,1,Bodor Olivér Pécsi VSK,Bodor Olivér,Pécsi VSK,863.78
5000m,M,2002,2,Zatykó Miklós Vasas,Zatykó Miklós,Vasas,865.6
5000m,M,2002,3,Stépán Zsolt BVSC,Stépán Zsolt,BVSC,866.1
5000m,M,2003,1,Bodor Olivér Pécsi VSK,Bodor Olivér,Pécsi VSK,864.41
5000m,M,2003,2,Zatykó Miklós Vasas,Zatykó Miklós,Vasas,869.5
5000m,M,2003,3,Rezessy Gergely Vasas,Rezessy Gergely,Vasas,872.92
5000m,M,2004,1,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,875.88
5000m,M,2004,2,Juhász András Hunyadi DSE,Juhász András,Hunyadi DSE,876.63
5000m,M,2004,3,Tímár Levente Alba Regia AK,Tímár Levente,Alba Regia AK,879.82
5000m,M,2005,1,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,865.64
5000m,M,2005,2,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,865.98
5000m,M,2005,3,Tóth László Pécsi VSK,Tóth László,Pécsi VSK,867.89
5000m,M,2006,1,Bene Barnabás PFK,Bene Barnabás,PFK,859.05
5000m,M,2006,2,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,864.23
5000m,M,2006,3,Tóth László PFK,Tóth László,PFK,865.58
5000m,M,2007,1,Végh Tibor Alba Regia AK,Végh Tibor,Alba Regia AK,871.8
5000m,M,2007,2,Ott Balázs Pécsi FK,Ott Balázs,Pécsi FK,877.39
5000m,M,2007,3,Kovács Tamás VEDAC,Kovács Tamás,VEDAC,880.44
5000m,M,2008,1,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,863.56
5000m,M,2008,2,Minczér Albert VEDAC,Minczér Albert,VEDAC,864.84
5000m,M,2008,3,Végh Tibor Alba Regia AK,Végh Tibor,Alba Regia AK,891.89
5000m,M,2009,1,Tóth László Pécsi FK,Tóth László,Pécsi FK,878.9
5000m,M,2009,2,Kovács Tamás VEDAC,Kovács Tamás,VEDAC,890.41
5000m,M,2009,3,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,898.58
5000m,M,2010,1,Kovács Tamás VEDAC,Kovács Tamás,VEDAC,863.8
5000m,M,2010,2,Végh Tibor Alba Regia AK,Végh Tibor,Alba Regia AK,874.29
5000m,M,2010,3,Farkas Dárius Alba Regia AK,Farkas Dárius,Alba Regia AK,884.86
5000m,M,2011,1,Tóth László Békéscsabai AC,Tóth László,Békéscsabai AC,865.46
5000m,M,2011,2,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,871.57
5000m,M,2011,3,Kovács Tamás VEDAC,Kovács Tamás,VEDAC,873.24
5000m,M,2012,1,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,872.93
5000m,M,2012,2,Tábor Miklós Békéscsabai AC,Tábor Miklós,Békéscsabai AC,873.37
5000m,M,2012,3,Józsa Gábor MAC-Népstadion,Józsa Gábor,MAC-Népstadion,874.37
5000m,M,2013,1,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,922.2
5000m,M,2013,2,Matkó Csaba Alba Regia AK,Matkó Csaba,Alba Regia AK,922.6
5000m,M,2013,3,Józsa Gábor MAC-Népstadion,Józsa Gábor,MAC-Népstadion,925.3
5000m,M,2014,1,Bene Barnabás Pécsi VSK,Bene Barnabás,Pécsi VSK,884.54
5000m,M,2014,2,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,885.74
5000m,M,2014,3,Soós Dániel Bp. Honvéd,Soós Dániel,Bp. Honvéd,888.53
5000m,M,2015,1,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,853.68
5000m,M,2015,2,Tábor Miklós Békéscsabai AC,Tábor Miklós,Békéscsabai AC,862.72
5000m,M,2015,3,Minczér Albert VEDAC,Minczér Albert,VEDAC,872.3
5000m,M,2016,1,Kovács Benjámin Újpesti TE,Kovács Benjámin,Újpesti TE,918.54
5000m,M,2016,2,Szögi István VEDAC,Szögi István,VEDAC,920.45
5000m,M,2016,3,Tábor Miklós Békéscsabai AC,Tábor Miklós,Békéscsabai AC,921.28
5000m,M,2017,1,Szögi István VEDAC,Szögi István,VEDAC,890.65
5000m,M,2017,2,Galamb Csaba Kecskeméti ARC,Galamb Csaba,Kecskeméti ARC,894.78
5000m,M,2017,3,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,896.83
5000m,M,2018,1,Gregor László Békéscsabai AC,Gregor László,Békéscsabai AC,865.66
5000m,M,2018,2,Palkovits István Kecskeméti ARC,Palkovits István,Kecskeméti ARC,872.65
5000m,M,2018,3,Honti Attila Bp. Honvéd,Honti Attila,Bp. Honvéd,879.98
5000m,M,2019,1,Kovács Benjámin Bp. Honvéd,Kovács Benjámin,Bp. Honvéd,857.11
5000m,M,2019,2,Palkovits István Kecskeméti ARC,Palkovits István,Kecskeméti ARC,864.49
5000m,M,2019,3,Szögi István Sportolj Velünk SE,Szögi István,Sportolj Velünk SE,883.21
5000m,M,2020,1,Szögi István Sportolj Velünk SE,Szögi István,Sportolj Velünk SE,880.69
5000m,M,2020,2,Fazekas Milán Kecskeméti ARC,Fazekas Milán,Kecskeméti ARC,885.97
5000m,M,2020,3,Zsetnyai Ákos Sportolj Velünk SE,Zsetnyai Ákos,Sportolj Velünk SE,888.18
5000m,M,2021,1,Szemerei Levente Szekszárdi Sportközpont,Szemerei Levente,Szekszárdi Sportközpont,859.9
5000m,M,2021,2,Farkas Dárius BEAC,Farkas Dárius,BEAC,867.04
5000m,M,2021,3,Csere Gáspár BEAC,Csere Gáspár,BEAC,874.23
5000m,M,2022,2,Farkas Dárius BEAC,Farkas Dárius,BEAC,877.37
5000m,M,2022,3,Karsai Gábor Békéscsabai AC,Karsai Gábor,Békéscsabai AC,880.01
5000m,M,2023,1,Vörös Márk KSI,Vörös Márk,KSI,845.85
5000m,M,2023,2,Karsai Gábor Békéscsabai AC,Karsai Gábor,Békéscsabai AC,850.82
5000m,M,2023,3,Sós Barnabás Margitszigeti AC,Sós Barnabás,Margitszigeti AC,869.36
5000m,M,2024,1,Szögi István Sportolj Velünk SE,Szögi István,Sportolj Velünk SE,851.17
5000m,M,2024,2,Sós Barnabás Margitszigeti AC,Sós Barnabás,Margitszigeti AC,855.65
5000m,M,2024,3,Lomb Ádám Pécsi VSK,Lomb Ádám,Pécsi VSK,856.23
5000m,M,2025,1,Palkovits István Sportolj Velünk SE,Palkovits István,Sportolj Velünk SE,828.76
5000m,M,2025,2,Szögi István MTK Budapest,Szögi István,MTK Budapest,832.95
5000m,M,2025,3,Lomb Ádám Pécsi VSK,Lomb Ádám,Pécsi VSK,837.27
5000m,W,1985,1,Visnyei Márta Szegedi VSE,Visnyei Márta,Szegedi VSE,1003.96
5000m,W,1985,2,Molnár Gizella Építők SC,Molnár Gizella,Építők SC,1007.05
5000m,W,1985,3,Hardy Éva Győri ETO,Hardy Éva,Győri ETO,1013.69
5000m,W,1986,1,Fazekas Erika Diósgyőri VTK,Fazekas Erika,Diósgyőri VTK,938.93
5000m,W,1986,2,Szabó Karolina Bp. Honvéd,Szabó Karolina,Bp. Honvéd,952.64
5000m,W,1986,3,Ágoston Zita Dunaújvárosi Kohász,Ágoston Zita,Dunaújvárosi Kohász,971.59
5000m,W,1987,1,Fazekas Erika Diósgyőri VTK,Fazekas Erika,Diósgyőri VTK,978.51
5000m,W,1987,2,Visnyei Márta Szegedi VSE,Visnyei Márta,Szegedi VSE,992.89
5000m,W,1987,3,Ágoston Zita Bp. Honvéd,Ágoston Zita,Bp. Honvéd,1006.28
5000m,W,1988,1,Fazekas Erika Diósgyőri VTK,Fazekas Erika,Diósgyőri VTK,941.36
5000m,W,1988,2,Visnyei Márta Szegedi VSE,Visnyei Márta,Szegedi VSE,962.07
5000m,W,1988,3,Jankó Ilona Ajka Hungalu,Jankó Ilona,Ajka Hungalu,986.08
5000m,W,1995,1,Dóczi Éva VEDAC,Dóczi Éva,VEDAC,974.16
5000m,W,1995,2,Barócsi Heléna Szolnoki MÁV MTE,Barócsi Heléna,Szolnoki MÁV MTE,976.75
5000m,W,1995,3,Javos Anikó Újpesti TE,Javos Anikó,Újpesti TE,978.87
5000m,W,1996,1,Dóczi Éva VEDAC,Dóczi Éva,VEDAC,963.58
5000m,W,1996,2,Javos Anikó Újpesti TE,Javos Anikó,Újpesti TE,972.64
5000m,W,1996,3,Pásztor Kornélia Debreceni MTE,Pásztor Kornélia,Debreceni MTE,993.65
5000m,W,1997,1,Dóczi Éva VEDAC,Dóczi Éva,VEDAC,963.43
5000m,W,1997,2,Javos Anikó Újpesti TE,Javos Anikó,Újpesti TE,963.67
5000m,W,1997,3,Tóth Mónika Kaposvári Építők,Tóth Mónika,Kaposvári Építők,999.05
5000m,W,1999,1,Szentgyörgyi Katalin Nyíregyházi VSC,Szentgyörgyi Katalin,Nyíregyházi VSC,961.06
5000m,W,1999,2,Javos Anikó DAC,Javos Anikó,DAC,986.46
5000m,W,1999,3,Csomor Erika BVSC,Csomor Erika,BVSC,988.12
5000m,W,2000,1,Kálovics Anikó Haladás,Kálovics Anikó,Haladás,966.31
5000m,W,2000,2,Tóth Mónika BEAC,Tóth Mónika,BEAC,984.88
5000m,W,2000,3,Csomor Erika BVSC,Csomor Erika,BVSC,986.01
5000m,W,2001,1,Staicu Simona BVSC,Staicu Simona,BVSC,954.68
5000m,W,2001,2,Papp Krisztina Újpesti TE,Papp Krisztina,Újpesti TE,957.91
5000m,W,2001,3,Csomor Erika BVSC,Csomor Erika,BVSC,960.44
5000m,W,2002,1,Kálovics Anikó Haladás VSE,Kálovics Anikó,Haladás VSE,956.0
5000m,W,2002,2,Papp Krisztina Újpesti TE,Papp Krisztina,Újpesti TE,967.0
5000m,W,2002,3,Kovács Ida VEDAC,Kovács Ida,VEDAC,992.0
5000m,W,2003,1,Kálovics Anikó Haladás VSE,Kálovics Anikó,Haladás VSE,963.69
5000m,W,2003,2,Teveli Petra Újpesti TE,Teveli Petra,Újpesti TE,1045.59
5000m,W,2003,3,Vajda Zsuzsanna MAC-Népstadion,Vajda Zsuzsanna,MAC-Népstadion,1047.48
5000m,W,2004,1,Papp Krisztina Újpesti TE,Papp Krisztina,Újpesti TE,960.69
5000m,W,2004,2,Kovács Ida VEDAC,Kovács Ida,VEDAC,1030.96
5000m,W,2004,3,Molnár Barbara TFSE,Molnár Barbara,TFSE,1038.25
5000m,W,2005,1,Papp Krisztina Újpesti TE,Papp Krisztina,Újpesti TE,960.76
5000m,W,2005,2,Teveli Petra Újpesti TE,Teveli Petra,Újpesti TE,1009.75
5000m,W,2005,3,Erdélyi Eszter Újpesti TE,Erdélyi Eszter,Újpesti TE,1026.76
5000m,W,2006,1,Staicu Simona MISI SC,Staicu Simona,MISI SC,1006.32
5000m,W,2006,2,Erdélyi Zsófia Gödöllői EAC,Erdélyi Zsófia,Gödöllői EAC,1027.61
5000m,W,2006,3,Kostyál Ágnes ORTRI,Kostyál Ágnes,ORTRI,1059.86
5000m,W,2007,1,Erdélyi Zsófia Gödöllői EAC,Erdélyi Zsófia,Gödöllői EAC,1006.94
5000m,W,2007,2,Kis Zsanett Újpesti TE,Kis Zsanett,Újpesti TE,1017.92
5000m,W,2007,3,Kostyál Ágnes Oroszlányi Triatlon,Kostyál Ágnes,Oroszlányi Triatlon,1019.67
5000m,W,2008,1,Rakonczai Beáta NYVSC-Nyírsuli,Rakonczai Beáta,NYVSC-Nyírsuli,1004.93
5000m,W,2008,2,Erdélyi Zsófia Gödöllői EAC,Erdélyi Zsófia,Gödöllői EAC,1038.97
5000m,W,2008,3,Kovács Ida VEDAC,Kovács Ida,VEDAC,1045.37
5000m,W,2009,1,Erdélyi Zsófia Gödöllői EAC,Erdélyi Zsófia,Gödöllői EAC,1011.79
5000m,W,2009,2,Szederkényi-Takács Andrea Vasas,Szederkényi-Takács Andrea,Vasas,1019.72
5000m,W,2009,3,Kovács Ida VEDAC,Kovács Ida,VEDAC,1043.56
5000m,W,2010,1,Erdélyi Zsófia Újpesti TE,Erdélyi Zsófia,Újpesti TE,996.03
5000m,W,2010,2,Staicu Simona MISI SC,Staicu Simona,MISI SC,1009.11
5000m,W,2010,3,Szederkényi-Takács Andrea Vasas,Szederkényi-Takács Andrea,Vasas,1017.94
5000m,W,2011,1,Papp Krisztina Újpesti TE,Papp Krisztina,Újpesti TE,984.98
5000m,W,2011,2,Erdélyi Zsófia Újpesti TE,Erdélyi Zsófia,Újpesti TE,1026.84
5000m,W,2011,3,Kácser Zita Szolnoki MÁV,Kácser Zita,Szolnoki MÁV,1046.04
5000m,W,2012,1,Szederkényi-Takács Andrea Vasas,Szederkényi-Takács Andrea,Vasas,1034.44
5000m,W,2012,2,Czebei Réka Favorit AC,Czebei Réka,Favorit AC,1049.09
5000m,W,2012,3,Kácser Zita Szolnoki MÁV,Kácser Zita,Szolnoki MÁV,1055.88
5000m,W,2013,1,Erdélyi Zsófia Újpesti TE,Erdélyi Zsófia,Újpesti TE,1020.3
5000m,W,2013,2,Czebei Réka Újpesti TE,Czebei Réka,Újpesti TE,1024.2
5000m,W,2013,3,Kácser Zita Szolnoki MÁV SE,Kácser Zita,Szolnoki MÁV SE,1046.4
5000m,W,2014,1,Erdélyi Zsófia Újpesti TE,Erdélyi Zsófia,Újpesti TE,988.95
5000m,W,2014,2,Papp Krisztina Újpesti TE,Papp Krisztina,Újpesti TE,996.36
5000m,W,2014,3,Kovács Zsófia VEDAC,Kovács Zsófia,VEDAC,1019.36
5000m,W,2015,1,Kácser Zita Békéscsabai EAC,Kácser Zita,Békéscsabai EAC,1015.7
5000m,W,2015,2,Gyürkés Viktória Ikarus BSE,Gyürkés Viktória,Ikarus BSE,1032.83
